"Chromosome","Start_Position","End_Position","Match_Position","Match_End_Position","FlankedExonIDs"
"NC_035107.1",212001,212075,216128,216202,"exon-XM_021838755.1-1"
"NC_035107.1",579526,579650,587559,587683,"exon-XM_021838767.1-1; exon-XM_021838767.1-2"
"NC_035107.1",579726,579975,587280,587529,"exon-XM_021838767.1-1; exon-XM_021838767.1-2"
"NC_035107.1",1978951,1979000,1998848,1998897,"exon-XM_021838778.1-4"
"NC_035107.1",1979151,1979200,1999047,1999096,"exon-XM_021838778.1-4"
"NC_035107.1",1979251,1979300,1999145,1999194,"exon-XM_021838778.1-4"
"NC_035107.1",3386526,3386575,3403489,3403538,"exon-XM_021838789.1-1; exon-XM_001655133.2-1"
"NC_035107.1",5710901,5710950,5730830,5730879,"exon-XM_021838808.1-20"
"NC_035107.1",5711051,5711125,5730980,5731054,"exon-XM_021838808.1-20"
"NC_035107.1",5714001,5714050,5731580,5731629,"exon-XM_021838808.1-20"
"NC_035107.1",9212626,9212700,9212659,9212733,"exon-XM_021838861.1-6; exon-XM_021838863.1-7"
"NC_035107.1",9213551,9213625,9214250,9214324,"exon-XM_021838861.1-6; exon-XM_021838863.1-6; exon-XM_021838863.1-7"
"NC_035107.1",9213551,9213600,9214520,9214569,"exon-XM_021838861.1-6; exon-XM_021838863.1-6; exon-XM_021838863.1-7"
"NC_035107.1",9213726,9213800,9214425,9214499,"exon-XM_021838861.1-6; exon-XM_021838863.1-6; exon-XM_021838863.1-7"
"NC_035107.1",9214251,9214300,9214521,9214570,"exon-XM_021838861.1-6; exon-XM_021838863.1-6"
"NC_035107.1",9684251,9684400,9691328,9691477,"exon-XM_021855305.1-1; exon-XM_021855305.1-2"
"NC_035107.1",9684426,9684550,9691503,9691627,"exon-XM_021855305.1-1; exon-XM_021855305.1-2; exon-XM_021855305.1-3"
"NC_035107.1",9684576,9684700,9691650,9691774,"exon-XM_021855305.1-1; exon-XM_021855305.1-2; exon-XM_021855305.1-3"
"NC_035107.1",11348751,11348800,11365380,11365429,"exon-XM_021838897.1-2"
"NC_035107.1",12414376,12414425,12427258,12427307,"exon-XM_021838944.1-3"
"NC_035107.1",13636851,13636925,13654498,13654572,"exon-XM_021838973.1-1"
"NC_035107.1",14197551,14197600,14207963,14208012,"exon-XM_021838993.1-2; exon-XM_021838997.1-1"
"NC_035107.1",14229226,14230350,14246390,14247514,"exon-XM_001658513.2-1; exon-XM_021839002.1-1"
"NC_035107.1",15972901,15973025,15978828,15978952,"exon-XM_021856963.1-1; exon-XM_021856963.1-2"
"NC_035107.1",15973151,15973200,15979078,15979127,"exon-XM_021856963.1-1; exon-XM_021856963.1-2"
"NC_035107.1",15973301,15973375,15979228,15979302,"exon-XM_021856963.1-1; exon-XM_021856963.1-2"
"NC_035107.1",16295926,16296000,16297011,16297085,"exon-XM_021839024.1-4"
"NC_035107.1",16483901,16483975,16494329,16494403,"exon-XM_001655247.2-2; exon-XM_001655247.2-3; exon-XM_001655247.2-4; exon-XM_001655247.2-5; exon-XM_001655247.2-6; exon-XM_001655248.2-2"
"NC_035107.1",16485426,16485475,16496239,16496288,"exon-XM_001655247.2-2; exon-XM_001655247.2-3; exon-XM_001655247.2-4; exon-XM_001655247.2-5; exon-XM_001655247.2-6; exon-XM_001655248.2-2"
"NC_035107.1",17743751,17743800,17743946,17743995,"exon-XM_021857556.1-2; exon-XM_021857559.1-1"
"NC_035107.1",17743751,17743825,17744500,17744574,"exon-XM_021857556.1-2; exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17743751,17743800,17745018,17745067,"exon-XM_021857556.1-2; exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17743751,17743825,17745213,17745287,"exon-XM_021857556.1-2; exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1"
"NC_035107.1",17743751,17743825,17745767,17745841,"exon-XM_021857556.1-2; exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17743826,17743925,17745093,17745192,"exon-XM_021857556.1-2; exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17743851,17744025,17744923,17745097,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17743951,17744000,17744505,17744554,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17743951,17744000,17745218,17745267,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1"
"NC_035107.1",17743951,17744000,17745772,17745821,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17744026,17744125,17744580,17744679,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17744026,17744125,17745293,17745392,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1"
"NC_035107.1",17744026,17744125,17745847,17745946,"exon-XM_021857559.1-1; exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17744201,17744750,17745468,17746017,"exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17744276,17744475,17744734,17744933,"exon-XM_021857559.1-2; exon-XM_021857559.1-3"
"NC_035107.1",17744276,17744325,17746118,17746167,"exon-XM_021857559.1-2; exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17744376,17744450,17746218,17746292,"exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3; exon-XM_021857602.1-4"
"NC_035107.1",17744501,17744550,17745019,17745068,"exon-XM_021857559.1-3"
"NC_035107.1",17744501,17744675,17745214,17745388,"exon-XM_021857559.1-3; exon-XM_021857585.1-1"
"NC_035107.1",17744701,17744775,17745414,17745488,"exon-XM_021857559.1-3; exon-XM_021857585.1-1; exon-XM_021857585.1-2"
"NC_035107.1",17744751,17744925,17745560,17745734,"exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17744851,17744900,17746235,17746284,"exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3; exon-XM_021857602.1-4"
"NC_035107.1",17745026,17745075,17745221,17745270,"exon-XM_021857585.1-1"
"NC_035107.1",17745026,17745075,17745775,17745824,"exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17745226,17745400,17745780,17745954,"exon-XM_021857585.1-1; exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17745426,17745475,17745980,17746029,"exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17745551,17745600,17746126,17746175,"exon-XM_021857585.1-2; exon-XM_021857585.1-3"
"NC_035107.1",17745651,17745700,17746226,17746275,"exon-XM_021857585.1-3; exon-XM_021857602.1-4"
"NC_035107.1",18053476,18053525,18067149,18067198,"exon-XM_021839049.1-4; exon-XM_021839049.1-5; exon-XM_021839049.1-6; exon-XM_021839049.1-7"
"NC_035107.1",18107001,18107100,18120240,18120339,"exon-XM_021839049.1-1; exon-XM_021839048.1-1"
"NC_035107.1",18175401,18175525,18181394,18181518,"exon-XM_001663983.2-1"
"NC_035107.1",18313276,18313325,18321825,18321874,"exon-XM_021839054.1-1"
"NC_035107.1",20356051,20356100,20374345,20374394,"exon-XR_002499189.1-2; exon-XR_002499189.1-3"
"NC_035107.1",20877001,20877050,20882546,20882595,"exon-XM_021839087.1-8"
"NC_035107.1",23079451,23079550,23086383,23086482,"exon-XM_021839141.1-1"
"NC_035107.1",23079576,23079700,23086508,23086632,"exon-XM_021839141.1-1"
"NC_035107.1",23079726,23079825,23086659,23086758,"exon-XM_021839141.1-1"
"NC_035107.1",23576001,23576075,23587782,23587856,"exon-XM_021839157.1-1"
"NC_035107.1",23576001,23576075,23587952,23588026,"exon-XM_021839157.1-1"
"NC_035107.1",23576251,23576300,23588202,23588251,"exon-XM_021839157.1-1"
"NC_035107.1",23576326,23576375,23588277,23588326,"exon-XM_021839157.1-1"
"NC_035107.1",23576401,23576525,23588352,23588476,"exon-XM_021839157.1-1"
"NC_035107.1",23867326,23867400,23882918,23882992,"exon-XM_001648586.2-1; exon-XM_001648586.2-2; exon-XM_001648586.2-3; exon-XM_001648586.2-4; exon-XM_001648586.2-5"
"NC_035107.1",23957551,23957600,23974700,23974749,"exon-XM_021839170.1-2"
"NC_035107.1",24558001,24558050,24564141,24564190,"exon-XM_001661391.2-1; exon-XM_001661391.2-2; exon-XM_001661391.2-3; exon-XM_001661391.2-4"
"NC_035107.1",24617601,24617750,24632456,24632605,"exon-XM_021839183.1-1; exon-XM_021839183.1-2; exon-XM_021839183.1-3; exon-XM_021839183.1-4; exon-XM_021839183.1-5; exon-XM_021839183.1-6; exon-XM_021839183.1-7; exon-XM_021839184.1-1; exon-XM_021839184.1-5; exon-XM_021839184.1-6"
"NC_035107.1",24619351,24629450,24632632,24642731,"exon-XM_021839183.1-1; exon-XM_021839183.1-2; exon-XM_021839183.1-3; exon-XM_021839183.1-4; exon-XM_021839183.1-5; exon-XM_021839183.1-6; exon-XM_021839183.1-7; exon-XM_021839184.1-1; exon-XM_021839184.1-5; exon-XM_021839184.1-6"
"NC_035107.1",24629476,24632425,24642757,24645706,"exon-XM_021839183.1-1; exon-XM_021839183.1-2; exon-XM_021839183.1-3; exon-XM_021839184.1-1"
"NC_035107.1",26196076,26196125,26211709,26211758,"exon-XM_001650697.2-1; exon-XM_001650697.2-2; exon-XM_001650697.2-3; exon-XM_001650697.2-4"
"NC_035107.1",28475726,28475950,28484437,28484661,"exon-XM_021839260.1-1"
"NC_035107.1",29315176,29315400,29325152,29325376,"exon-XM_021839277.1-1; exon-XM_021839277.1-2; exon-XM_021839277.1-3; exon-XM_021839277.1-4; exon-XM_021839278.1-4"
