Chromosome,Start_Position,End_Position,Match_Position,Match_End_Position
BX284601.5,1,400,31,430
BX284601.5,1,350,61,410
BX284601.5,1,325,91,415
BX284601.5,1,300,121,420
BX284601.5,1,275,151,425
BX284601.5,1,250,181,430
BX284601.5,1,200,211,410
BX284601.5,1,175,241,415
BX284601.5,1,150,271,420
BX284601.5,1,125,301,425
BX284601.5,1,100,331,430
BX284601.5,1,50,361,410
BX284601.5,601,725,721,845
BX284601.5,58026,58075,58201,58250
BX284601.5,58126,58175,58281,58330
BX284601.5,65226,65275,67797,67846
BX284601.5,196926,197150,206102,206326
BX284601.5,214926,214975,221064,221113
BX284601.5,215026,215150,221163,221287
BX284601.5,226776,226875,238544,238643
BX284601.5,226951,227150,238718,238917
BX284601.5,227151,227325,238925,239099
BX284601.5,227351,227475,239119,239243
BX284601.5,280526,280575,280677,280726
BX284601.5,280526,280675,280827,280976
BX284601.5,280526,280675,281092,281241
BX284601.5,280526,280575,281281,281330
BX284601.5,280526,280575,281356,281405
BX284601.5,280551,280625,280589,280663
BX284601.5,280551,280600,280627,280676
BX284601.5,280551,280675,280890,281014
BX284601.5,280551,280675,280928,281052
BX284601.5,280551,280725,280966,281140
BX284601.5,280551,280625,281004,281078
BX284601.5,280551,280600,281042,281091
BX284601.5,280551,280725,281155,281329
BX284601.5,280551,280625,281193,281267
BX284601.5,280551,280600,281231,281280
BX284601.5,280576,280625,280689,280738
BX284601.5,280576,280675,280839,280938
BX284601.5,280576,280675,281104,281203
BX284601.5,280576,280625,281368,281417
BX284601.5,280626,280675,280851,280900
BX284601.5,280626,280675,281116,281165
BX284601.5,280651,280725,280801,280875
BX284601.5,280676,280725,281355,281404
BX284601.5,280751,280825,281317,281391
BX284601.5,280776,280825,280813,280862
BX284601.5,280776,280825,281078,281127
BX284601.5,280776,280825,281267,281316
BX284601.5,280801,281000,281066,281265
BX284601.5,280801,280875,281255,281329
BX284601.5,280826,280875,281355,281404
BX284601.5,280851,281050,280889,281088
BX284601.5,280851,281000,280927,281076
BX284601.5,280851,280975,280965,281089
BX284601.5,280851,280925,281003,281077
BX284601.5,280851,280900,281041,281090
BX284601.5,280851,280975,281154,281278
BX284601.5,280851,280925,281192,281266
BX284601.5,280851,280900,281230,281279
BX284601.5,280876,281050,281103,281277
BX284601.5,280876,280925,281367,281416
BX284601.5,280926,281125,281115,281314
BX284601.5,280951,281075,281102,281226
BX284601.5,280951,281000,281366,281415
BX284601.5,281001,281075,281114,281188
BX284601.5,281026,281075,281101,281150
BX284601.5,281026,281075,281365,281414
BX284601.5,281076,281150,281340,281414
BX284601.5,281101,281225,281139,281263
BX284601.5,281101,281200,281177,281276
BX284601.5,281101,281150,281215,281264
BX284601.5,281176,281225,281364,281413
BX284601.5,281276,281325,281351,281400
BX284601.5,281576,281625,281666,281715
BX284601.5,281576,281625,282056,282105
BX284601.5,281701,281750,281836,281885
BX284601.5,326326,326400,326489,326563
BX284601.5,334701,334775,334941,335015
BX284601.5,334701,334750,335021,335070
BX284601.5,334701,334750,335141,335190
BX284601.5,334926,334975,335006,335055
BX284601.5,334926,334975,335126,335175
BX284601.5,335001,335050,335121,335170
BX284601.5,335351,335425,335463,335537
BX284601.5,338576,338675,338760,338859
BX284601.5,338576,338675,340048,340147
BX284601.5,338626,338675,339178,339227
BX284601.5,338626,338675,339546,339595
BX284601.5,338626,338675,339914,339963
